row_id,timestamp,consensus,node_count,network_latency_ms,tx_throughput_tps,energy_joules_per_min,security_risk_score,vehicle_count,vehicle_count_variability,fault_tolerance_requirement,notes
1,2025-10-23T07:10:18.854419,PoW,5,425.96,1.0,10862.67,0.0785,226,2.07,0.4096,
2,2025-10-23T07:10:18.854419,PoS,4,104.52,201.88,37886.13,0.1163,226,2.07,0.4264,
3,2025-10-23T07:10:18.854419,Raft,8,26.5,1665.1,411677.44,0.1057,226,2.07,0.5791,
4,2025-10-23T07:10:18.854419,PBFT,7,102.99,1.0,696.37,0.1563,226,2.07,0.7309,
5,2025-10-23T07:10:18.854419,HotStuff,6,87.37,544.3,154622.7,0.1153,226,2.07,0.7532,
6,2025-10-23T07:11:18.854419,PoW,5,161.23,1.0,7139.9,0.1104,207,4.52,0.3968,
7,2025-10-23T07:11:18.854419,PoS,4,104.34,520.92,126830.15,0.1628,207,4.52,0.4497,
8,2025-10-23T07:11:18.854419,Raft,8,48.95,1.0,351.99,0.1347,207,4.52,0.6019,
9,2025-10-23T07:11:18.854419,PBFT,7,200.79,269.07,200748.85,0.1237,207,4.52,0.755,
10,2025-10-23T07:11:18.854419,HotStuff,6,69.45,418.3,158750.39,0.1479,207,4.52,0.7454,
11,2025-10-23T07:12:18.854419,PoW,6,448.47,1.0,8848.32,0.1136,187,7.53,0.3949,
12,2025-10-23T07:12:18.854419,PoS,3,88.32,227.43,64535.55,0.1519,187,7.53,0.4146,
13,2025-10-23T07:12:18.854419,Raft,8,45.35,161.34,61021.22,0.1654,187,7.53,0.5855,
14,2025-10-23T07:12:18.854419,PBFT,7,41.13,190.73,126466.42,0.1995,187,7.53,0.7339,
15,2025-10-23T07:12:18.854419,HotStuff,6,114.72,1239.71,549977.28,0.1539,187,7.53,0.7974,
16,2025-10-23T07:13:18.854419,PoW,7,361.34,1.0,6811.48,0.1166,182,8.49,0.4324,
17,2025-10-23T07:13:18.854419,PoS,3,83.85,369.82,123379.06,0.1558,182,8.49,0.4268,
18,2025-10-23T07:13:18.854419,Raft,8,75.82,1.0,309.71,0.173,182,8.49,0.5952,
19,2025-10-23T07:13:18.854419,PBFT,7,131.4,236.1,209086.68,0.1841,182,8.49,0.7648,
20,2025-10-23T07:13:18.854419,HotStuff,5,41.15,1692.44,783710.92,0.1657,182,8.49,0.794,
21,2025-10-23T07:14:18.854419,PoW,7,245.94,10.61,99464.56,0.1536,204,11.31,0.446,
22,2025-10-23T07:14:18.854419,PoS,3,137.05,292.69,69008.97,0.206,204,11.31,0.4569,
23,2025-10-23T07:14:18.854419,Raft,7,70.87,1.0,261.08,0.1947,204,11.31,0.5743,
24,2025-10-23T07:14:18.854419,PBFT,8,204.98,1.0,631.36,0.2376,204,11.31,0.7833,
25,2025-10-23T07:14:18.854419,HotStuff,6,117.27,1.0,445.75,0.1812,204,11.31,0.8422,
26,2025-10-23T07:15:18.854419,PoW,6,472.69,1.0,6681.42,0.1859,229,17.03,0.4332,
27,2025-10-23T07:15:18.854419,PoS,4,210.71,294.25,86908.47,0.2576,229,17.03,0.4415,
28,2025-10-23T07:15:18.854419,Raft,7,50.66,1.0,254.93,0.2791,229,17.03,0.6422,
29,2025-10-23T07:15:18.854419,PBFT,9,39.73,1.0,620.82,0.2864,229,17.03,0.809,
30,2025-10-23T07:15:18.854419,HotStuff,6,24.94,1.0,546.02,0.191,229,17.03,0.7915,
31,2025-10-23T07:16:18.854419,PoW,7,183.94,95.53,920434.73,0.1668,275,15.49,0.4339,
32,2025-10-23T07:16:18.854419,PoS,3,5.0,50.34,17083.56,0.2351,275,15.49,0.4681,
33,2025-10-23T07:16:18.854419,Raft,6,82.2,1146.93,250161.48,0.2279,275,15.49,0.6114,
34,2025-10-23T07:16:18.854419,PBFT,6,185.03,155.45,111733.61,0.3066,275,15.49,0.7679,
35,2025-10-23T07:16:18.854419,HotStuff,6,73.81,684.11,243071.95,0.192,275,15.49,0.7996,
36,2025-10-23T07:17:18.854419,PoW,8,499.49,49.74,341320.79,0.1603,223,10.39,0.4349,network_partition
